"Region","Year","Precipitation"
"Agadez",1981,81.3413040632891
"Agadez",1982,71.7608138390969
"Agadez",1983,61.3507157607568
"Agadez",1984,40.7283359491844
"Agadez",1985,67.6963836281035
"Agadez",1986,81.9192839668809
"Agadez",1987,59.4042507506781
"Agadez",1988,99.2196656581342
"Agadez",1989,83.5736089873298
"Agadez",1990,54.0578049846166
"Agadez",1991,79.1154454023021
"Agadez",1992,77.8303317243174
"Agadez",1993,63.4772329025932
"Agadez",1994,106.488371934312
"Agadez",1995,59.2802840507823
"Agadez",1996,57.0061390888012
"Agadez",1997,93.0309578700714
"Agadez",1998,114.072198534327
"Agadez",1999,119.438675911704
"Agadez",2000,65.6102975539709
"Agadez",2001,77.5818059086877
"Agadez",2002,81.9598714842197
"Agadez",2003,97.4445601618675
"Agadez",2004,66.3934078733214
"Agadez",2005,76.9669645072027
"Agadez",2006,69.6121218080621
"Agadez",2007,81.6575199017595
"Agadez",2008,75.6914323283579
"Agadez",2009,68.0689573257693
"Agadez",2010,92.9255497929999
"Agadez",2011,74.4846320511488
"Agadez",2012,87.1981955794542
"Agadez",2013,71.9442122164643
"Agadez",2014,63.4103150475573
"Agadez",2015,90.1224657287835
"Agadez",2016,75.6499330084347
"Agadez",2017,69.4888442432468
"Agadez",2018,101.101275380684
"Agadez",2019,87.4895559235926
"Agadez",2020,95.9768065101442
"Agadez",2021,74.7173576397636
"Diffa",1981,174.761432446425
"Diffa",1982,184.185738958716
"Diffa",1983,120.070279056792
"Diffa",1984,83.6226697856019
"Diffa",1985,203.65442448407
"Diffa",1986,181.727785668741
"Diffa",1987,129.022486122618
"Diffa",1988,297.301041775423
"Diffa",1989,201.031088045389
"Diffa",1990,170.114122373187
"Diffa",1991,240.45314744225
"Diffa",1992,213.534134726095
"Diffa",1993,201.905801212553
"Diffa",1994,317.949806748585
"Diffa",1995,217.825942498901
"Diffa",1996,175.603836497918
"Diffa",1997,178.336818691663
"Diffa",1998,237.38437641675
"Diffa",1999,290.462740768985
"Diffa",2000,164.127468728026
"Diffa",2001,187.32566254015
"Diffa",2002,188.029392868898
"Diffa",2003,279.109267854001
"Diffa",2004,173.371531894441
"Diffa",2005,230.678212048705
"Diffa",2006,206.427526981774
"Diffa",2007,271.453179996442
"Diffa",2008,200.840266544078
"Diffa",2009,148.858222933973
"Diffa",2010,215.880701836542
"Diffa",2011,211.705712424421
"Diffa",2012,340.683597783088
"Diffa",2013,225.282443526657
"Diffa",2014,199.158432103709
"Diffa",2015,214.935792970193
"Diffa",2016,277.617045778627
"Diffa",2017,208.619828965122
"Diffa",2018,291.594273537523
"Diffa",2019,316.936651760176
"Diffa",2020,277.088547932765
"Diffa",2021,258.694212725575
"Dosso",1981,597.051431866633
"Dosso",1982,479.522603183489
"Dosso",1983,483.949177655964
"Dosso",1984,355.530121833288
"Dosso",1985,522.215138743755
"Dosso",1986,584.489886386017
"Dosso",1987,464.137437679871
"Dosso",1988,648.238571527222
"Dosso",1989,574.742767115969
"Dosso",1990,514.617361609394
"Dosso",1991,617.139311793452
"Dosso",1992,619.88302061656
"Dosso",1993,486.447567223404
"Dosso",1994,787.017826045721
"Dosso",1995,527.636902321151
"Dosso",1996,557.765798737051
"Dosso",1997,500.691801713877
"Dosso",1998,631.265121651862
"Dosso",1999,683.092986275565
"Dosso",2000,544.726646752704
"Dosso",2001,564.969364876439
"Dosso",2002,614.962139988374
"Dosso",2003,639.268484754401
"Dosso",2004,534.935969456013
"Dosso",2005,610.070811789147
"Dosso",2006,599.290928344475
"Dosso",2007,607.140581020662
"Dosso",2008,585.593409108991
"Dosso",2009,515.566339996417
"Dosso",2010,650.88752531753
"Dosso",2011,468.544931078356
"Dosso",2012,614.080192603059
"Dosso",2013,535.59823631488
"Dosso",2014,558.710495765901
"Dosso",2015,561.283906005341
"Dosso",2016,544.002323935904
"Dosso",2017,559.88317582282
"Dosso",2018,684.724100224298
"Dosso",2019,597.724515372535
"Dosso",2020,805.005743272217
"Dosso",2021,561.09812782742
"Maradi",1981,373.65391520128
"Maradi",1982,326.100665774603
"Maradi",1983,318.555205905789
"Maradi",1984,199.547141555449
"Maradi",1985,323.293390383173
"Maradi",1986,418.794176274134
"Maradi",1987,268.534045460753
"Maradi",1988,436.039408408542
"Maradi",1989,429.963768420659
"Maradi",1990,342.741055415482
"Maradi",1991,422.367047296765
"Maradi",1992,383.624479196375
"Maradi",1993,293.356172099981
"Maradi",1994,507.340099148516
"Maradi",1995,385.222574774932
"Maradi",1996,353.261067891875
"Maradi",1997,373.197606237847
"Maradi",1998,472.932328330525
"Maradi",1999,549.567940802965
"Maradi",2000,397.9616560096
"Maradi",2001,534.598551100886
"Maradi",2002,430.361118703967
"Maradi",2003,523.549707349125
"Maradi",2004,411.019774668039
"Maradi",2005,462.446901167037
"Maradi",2006,480.26596580447
"Maradi",2007,393.807481143191
"Maradi",2008,407.46559482378
"Maradi",2009,319.453898040945
"Maradi",2010,515.020397149687
"Maradi",2011,410.791136474932
"Maradi",2012,474.02128963235
"Maradi",2013,424.112059974969
"Maradi",2014,413.331503137836
"Maradi",2015,397.79267738091
"Maradi",2016,393.078246216561
"Maradi",2017,356.096258755334
"Maradi",2018,511.355436448914
"Maradi",2019,452.763607069887
"Maradi",2020,548.126680539807
"Maradi",2021,430.322795881854
"Tahoua",1981,333.816794795071
"Tahoua",1982,274.442754852749
"Tahoua",1983,282.588539807954
"Tahoua",1984,176.153933999763
"Tahoua",1985,285.580015449433
"Tahoua",1986,326.124213966459
"Tahoua",1987,272.76647827407
"Tahoua",1988,400.857520604603
"Tahoua",1989,386.551364214444
"Tahoua",1990,289.929464695566
"Tahoua",1991,414.648873139774
"Tahoua",1992,326.483432991601
"Tahoua",1993,255.279470308753
"Tahoua",1994,490.215173529126
"Tahoua",1995,307.622216514182
"Tahoua",1996,301.21731605988
"Tahoua",1997,285.719416546169
"Tahoua",1998,408.912344973324
"Tahoua",1999,463.407953453252
"Tahoua",2000,303.435598243214
"Tahoua",2001,368.672448442771
"Tahoua",2002,345.422080027098
"Tahoua",2003,383.986788364285
"Tahoua",2004,336.838949560987
"Tahoua",2005,381.764198433466
"Tahoua",2006,387.269802210385
"Tahoua",2007,354.983247311285
"Tahoua",2008,376.99305811408
"Tahoua",2009,276.701759391996
"Tahoua",2010,396.059907773115
"Tahoua",2011,304.959367170085
"Tahoua",2012,382.049176326339
"Tahoua",2013,307.795019251616
"Tahoua",2014,359.819405290537
"Tahoua",2015,341.543473772742
"Tahoua",2016,345.660492940069
"Tahoua",2017,299.629052029143
"Tahoua",2018,422.524922124084
"Tahoua",2019,342.662604808625
"Tahoua",2020,479.249648798032
"Tahoua",2021,344.799692441983
"Tillabéri",1981,397.528781805662
"Tillabéri",1982,328.654490022078
"Tillabéri",1983,341.27743429139
"Tillabéri",1984,229.123266249068
"Tillabéri",1985,320.461897183454
"Tillabéri",1986,358.35251936223
"Tillabéri",1987,295.662480978517
"Tillabéri",1988,456.706063829719
"Tillabéri",1989,418.897899777939
"Tillabéri",1990,342.18387823031
"Tillabéri",1991,407.749840789832
"Tillabéri",1992,416.485053313156
"Tillabéri",1993,342.434313274516
"Tillabéri",1994,531.624616216205
"Tillabéri",1995,402.726662121832
"Tillabéri",1996,367.228520131611
"Tillabéri",1997,318.857489239742
"Tillabéri",1998,485.167771709538
"Tillabéri",1999,497.594377818524
"Tillabéri",2000,378.367815773503
"Tillabéri",2001,417.535417018326
"Tillabéri",2002,400.840573999459
"Tillabéri",2003,461.685001825026
"Tillabéri",2004,374.21838070476
"Tillabéri",2005,466.158639047541
"Tillabéri",2006,367.928070375441
"Tillabéri",2007,430.284394609565
"Tillabéri",2008,398.941846326452
"Tillabéri",2009,361.114602889561
"Tillabéri",2010,430.464648701219
"Tillabéri",2011,324.522527343657
"Tillabéri",2012,485.326908771559
"Tillabéri",2013,421.142185546522
"Tillabéri",2014,398.990116254654
"Tillabéri",2015,441.246868124437
"Tillabéri",2016,433.981903372494
"Tillabéri",2017,419.376008608405
"Tillabéri",2018,460.462757752142
"Tillabéri",2019,409.822033542922
"Tillabéri",2020,561.000578453679
"Tillabéri",2021,385.839422155564
"Zinder",1981,292.067769639427
"Zinder",1982,285.778149546435
"Zinder",1983,258.307716118041
"Zinder",1984,158.06272966817
"Zinder",1985,282.2107375354
"Zinder",1986,312.097354959627
"Zinder",1987,207.296898845731
"Zinder",1988,377.170166141987
"Zinder",1989,318.963591574889
"Zinder",1990,260.937967161315
"Zinder",1991,334.397189701177
"Zinder",1992,331.111679798365
"Zinder",1993,295.778240338883
"Zinder",1994,420.304221395533
"Zinder",1995,313.663038381012
"Zinder",1996,275.052581604966
"Zinder",1997,313.990533088373
"Zinder",1998,391.556558296373
"Zinder",1999,407.922572996039
"Zinder",2000,298.301080360371
"Zinder",2001,396.276097452843
"Zinder",2002,369.751973232967
"Zinder",2003,442.938719824027
"Zinder",2004,338.475067953094
"Zinder",2005,377.389872057511
"Zinder",2006,347.143531218637
"Zinder",2007,288.193836196795
"Zinder",2008,377.415734200036
"Zinder",2009,258.253007721604
"Zinder",2010,395.067844804747
"Zinder",2011,339.849282923513
"Zinder",2012,451.972217244974
"Zinder",2013,347.189463891676
"Zinder",2014,314.81737037455
"Zinder",2015,335.58019958544
"Zinder",2016,314.844230914606
"Zinder",2017,300.375048623236
"Zinder",2018,409.579902547567
"Zinder",2019,422.438756937724
"Zinder",2020,411.294172778607
"Zinder",2021,373.688327266867
"Niamey",1981,491.45106869624
"Niamey",1982,372.05909616114
"Niamey",1983,485.664461825594
"Niamey",1984,284.55417635523
"Niamey",1985,379.432381966785
"Niamey",1986,394.005352490799
"Niamey",1987,378.644071703879
"Niamey",1988,526.313101143058
"Niamey",1989,528.076386218511
"Niamey",1990,456.623068480176
"Niamey",1991,503.063296184127
"Niamey",1992,532.83508204258
"Niamey",1993,437.726820040194
"Niamey",1994,622.435151138162
"Niamey",1995,519.116286786986
"Niamey",1996,493.408769117401
"Niamey",1997,361.095936462288
"Niamey",1998,833.630289054396
"Niamey",1999,607.198005621768
"Niamey",2000,470.285238676285
"Niamey",2001,499.176926456237
"Niamey",2002,472.971567406262
"Niamey",2003,507.360065918577
"Niamey",2004,459.077858182864
"Niamey",2005,579.867832043129
"Niamey",2006,442.766431793191
"Niamey",2007,546.606240802171
"Niamey",2008,476.792254772647
"Niamey",2009,456.774836894434
"Niamey",2010,577.199458705816
"Niamey",2011,347.514650501324
"Niamey",2012,607.127126778935
"Niamey",2013,525.806167016949
"Niamey",2014,494.091883821696
"Niamey",2015,525.034654626399
"Niamey",2016,538.805378899069
"Niamey",2017,593.068945925017
"Niamey",2018,592.602206951164
"Niamey",2019,519.629748981294
"Niamey",2020,675.583933313734
"Niamey",2021,509.730735157839
